lng,lat
-85.45344,43.40225
18.18008,40.22590
0.21034,53.13937
-1.53344,41.95540
141.59709,42.91266
74.70332,25.50887
-5.97179,39.39449
106.93608,17.05763
10.66112,50.46385
-4.29853,41.14680
-6.21703,38.56601
10.63281,47.82539
8.64238,40.03023
-73.22439,40.82052
7.74277,44.35665
-3.40473,51.39555
5.85048,51.89090
13.30734,49.54167
7.78742,49.45930
-88.33848,41.82375
21.51094,40.82990
-73.13028,44.84939
12.98228,50.91814
19.30760,48.01845
19.24906,51.60986
-43.32206,-15.77702
107.32025,10.99581
10.40160,44.74756
6.63736,51.43697
19.35092,51.39189
10.21358,49.33037
25.29973,35.14151
22.38953,39.70372
25.24965,41.06598
-2.05263,39.20263
126.97100,36.51289
26.42355,41.52298
7.68265,44.52972
16.51568,49.29953
17.99912,51.80499
-1.08695,50.88115
23.77869,55.65713
127.41409,35.52021
-1.06939,54.53902
24.87706,41.04899
126.58334,34.94064
9.26676,49.05213
141.31621,43.01024
38.57503,37.17768
137.16932,35.41910
20.86759,39.10868
-6.68584,38.33508
24.73283,55.25395
10.83012,50.18753
0.89257,41.50590
6.90553,51.16084
25.38559,58.12698
12.83126,48.79471
-73.71560,42.93397
126.20667,36.77728
-1.99710,52.41543
127.38381,34.56317
16.14019,51.66385
-2.29967,53.56504
-1.92486,50.81751
-3.29136,51.55839
126.17498,34.40845
12.82352,48.77033
-72.87263,40.82466
126.57931,34.76393
7.81106,44.64084
126.91360,35.87982
27.18079,43.35898
10.06617,48.30717
16.27309,40.89746
24.51937,58.43910
22.12310,40.01520
6.58743,51.46661
-68.74728,44.76606
-2.56534,37.00078
22.47726,39.46255
126.89728,35.70786
143.86732,43.78194
105.97827,37.32224
21.32571,51.78186
126.82641,37.04998
22.49607,38.88603
14.48107,40.88699
24.69990,57.09702
-2.64742,37.53272
12.18351,49.79329
2.01921,41.98770
136.89105,34.82264
10.29282,49.91586
13.09405,38.06030
128.70001,37.00004
14.56655,49.85539
5.10885,52.02121
10.30069,45.70880
11.73580,51.41899
17.34045,40.40581
-2.14133,52.64060
107.89445,34.42722
14.01825,51.59049
13.36623,52.44188
-5.88305,37.40820
-72.63501,42.18212
-6.74850,38.81737
2.97640,42.74453
13.24498,49.53811
12.78235,51.38314
-9.10050,38.86705
-122.83744,42.44606
-159.33199,22.08068
21.17488,38.66498
-71.01855,41.59355
113.28118,40.32748
13.74138,43.22272
-4.49980,40.26373
16.17147,50.77733
-5.63306,41.46325
-120.73413,35.79484
10.63598,48.03875
9.87566,49.17403
-5.90507,39.32568
10.71293,44.55516
-76.83025,39.33616
21.63091,50.88150
-1.66728,38.61035
11.77396,43.68480
140.17941,39.66249
10.44441,49.04941
-118.12983,34.70265
-1.53485,54.84144
141.48088,40.05639
13.12685,48.55956
21.28214,37.83983
19.27629,50.19478
8.60026,49.89247
-5.51312,42.60418
13.36267,51.33248
21.15863,38.66474
11.02135,49.63858
-3.46408,39.29228
-71.55302,41.99786
11.96990,51.25100
-0.06312,51.07969
-5.22527,42.10587
28.80050,37.93280
16.53566,48.83497
